CabernetSauvignon,2007,4,2,5,5,2,5,0.0,111.0,3207.0,14.0,21.0
CabernetSauvignon,2007,5,2,5,6,2,5,0.0,110.0,582.0,14.0,5.0
CabernetSauvignon,2007,6,2,5,7,1,6,570.0,80.0,1537.0,17.0,13.0
CabernetSauvignon,2010,#,#,#,4,3,4,54368.0,1718.0,1044030.0,12.0,390.0
CabernetSauvignon,2010,4,3,4,5,3,5,321.0,91.0,1330.0,16.0,10.0
CabernetSauvignon,2010,5,3,5,5,2,5,0.0,75.0,1160.0,10.0,10.0
CabernetSauvignon,2010,5,2,5,5,2,5,0.0,72.0,3450.0,9.0,30.0
CabernetSauvignon,2010,5,2,5,5,2,5,225.0,58.0,2910.0,11.0,30.0
CabernetSauvignon,2010,5,2,5,6,1,5,210.0,49.0,2940.0,10.0,30.0
CabernetSauvignon,2010,#,#,#,4,3,4,54368.0,1718.0,1044030.0,12.0,390.0
CabernetSauvignon,2010,4,3,4,5,2,5,321.0,91.0,1330.0,16.0,10.0
CabernetSauvignon,2010,5,2,5,5,2,5,0.0,75.0,1160.0,10.0,10.0
CabernetSauvignon,2010,5,2,5,5,2,5,0.0,72.0,3450.0,9.0,30.0
CabernetSauvignon,2010,5,2,5,6,1,5,225.0,58.0,2910.0,11.0,30.0
CabernetSauvignon,2010,6,1,5,6,1,5,210.0,49.0,2940.0,10.0,30.0
CabernetSauvignon,2010,#,#,#,5,3,5,54368.0,1718.0,1044030.0,12.0,390.0
CabernetSauvignon,2010,5,3,5,6,3,5,321.0,91.0,1330.0,16.0,10.0
CabernetSauvignon,2010,6,3,5,6,2,5,0.0,75.0,1160.0,10.0,10.0
CabernetSauvignon,2010,6,2,5,6,2,5,0.0,72.0,3450.0,9.0,30.0
CabernetSauvignon,2010,6,2,5,6,2,5,225.0,58.0,2910.0,11.0,30.0
CabernetSauvignon,2010,6,2,5,6,1,5,210.0,49.0,2940.0,10.0,30.0
CabernetSauvignon,2011,#,#,#,5,2,5,41695.0,1238.0,320790.0,9.0,170.0
CabernetSauvignon,2011,5,2,5,5,2,5,0.0,19.0,250.0,2.0,10.0
CabernetSauvignon,2011,5,2,5,5,2,5,0.0,17.0,0.0,3.0,0.0
CabernetSauvignon,2011,5,2,5,6,2,5,0.0,32.0,440.0,4.0,10.0
CabernetSauvignon,2011,#,#,#,5,2,5,41695.0,1238.0,320790.0,9.0,170.0
CabernetSauvignon,2011,5,2,5,5,2,5,0.0,19.0,250.0,2.0,10.0
CabernetSauvignon,2011,5,2,5,5,2,5,0.0,17.0,0.0,3.0,0.0
CabernetSauvignon,2011,5,2,5,6,1,5,0.0,32.0,440.0,4.0,10.0
CabernetSauvignon,2011,#,#,#,6,2,5,41695.0,1238.0,320790.0,9.0,170.0
CabernetSauvignon,2011,6,2,5,6,2,5,0.0,19.0,250.0,2.0,10.0
