TipoUva,Zona,Zuccheri,Acidità,Ph,data
CabernetSauvignon,Montevarchi,17.78,7.58,3.19,20/9/2010
Merlot,Ambra,20.1,5.58,3.33,20/9/2010
Merlot,BassoCasentino,22.15,6.37,3.36,20/9/2010
Merlot,Montevarchi,19.65,7.11,3.3,20/9/2010
Merlot,PergineCivitella,?,?,?,20/9/2010
Merlot,PianaltiSetteponti,20.48,6.05,3.43,20/9/2010
Sangiovese,Ambra,19.25,6.68,3.18,20/9/2010
Sangiovese,BassoCasentino,18.98,9.23,3.12,20/9/2010
Sangiovese,Cortona,20.43,8.08,3.16,20/9/2010
Sangiovese,Montevarchi,17.83,8.36,3.09,20/9/2010
Sangiovese,PergineCivitella,18.6,7.61,3.21,20/9/2010
Sangiovese,PianaltiSetteponti,18.1,7.53,3.14,20/9/2010
Sangiovese,TerrazzamentiSetteponti,19.3,8.52,3.08,20/9/2010
Sangiovese,ValdiChiana,18.6,7.25,3.17,20/9/2010
Syrah,Cortona,22.3,5.88,3.54,20/9/2010
Trebbiano,ValdiChiana,14.75,9.72,2.97,20/9/2010
CabernetSauvignon,Ambra,18.77,6.04,3.25,27/9/2010
CabernetSauvignon,Cortona,20.3,6.8,3.32,27/9/2010
CabernetSauvignon,Montevarchi,18.1,7.15,3.22,27/9/2010
Merlot,Ambra,?,?,?,27/9/2010
Merlot,BassoCasentino,?,?,?,27/9/2010
Merlot,Montevarchi,?,?,?,27/9/2010
Merlot,PergineCivitella,?,?,?,27/9/2010
Merlot,PianaltiSetteponti,?,?,?,27/9/2010
Sangiovese,Ambra,19.9,6.62,3.17,27/9/2010
Sangiovese,BassoCasentino,19.85,9.2,3.14,27/9/2010
Sangiovese,Cortona,21.32,8.02,3.14,27/9/2010
Sangiovese,Montevarchi,18.23,8.18,3.11,27/9/2010
Sangiovese,PergineCivitella,19.85,7.11,3.24,27/9/2010
Sangiovese,PianaltiSetteponti,18.3,7.51,3.19,27/9/2010
Sangiovese,TerrazzamentiSetteponti,20.35,8.34,3.14,27/9/2010
Sangiovese,ValdiChiana,19.27,7.01,3.17,27/9/2010
Syrah,Cortona,?,?,?,27/9/2010
Trebbiano,ValdiChiana,17.8,7.6,3.09,27/9/2010
CabernetSauvignon,Ambra,20.4,5.98,3.26,4/10/2010
CabernetSauvignon,Cortona,20.7,5.5,3.35,4/10/2010
CabernetSauvignon,Montevarchi,19.4,5.41,3.36,4/10/2010
Merlot,Ambra,?,?,?,4/10/2010
Merlot,BassoCasentino,?,?,?,4/10/2010
Merlot,Montevarchi,?,?,?,4/10/2010
Merlot,PergineCivitella,?,?,?,4/10/2010
Merlot,PianaltiSetteponti,?,?,?,4/10/2010
Sangiovese,Ambra,?,?,?,4/10/2010
Sangiovese,BassoCasentino,20.5,7.75,3.17,4/10/2010
Sangiovese,Cortona,21.87,7.43,3.24,4/10/2010
Sangiovese,Montevarchi,?,?,?,4/10/2010
Sangiovese,PergineCivitella,?,?,?,4/10/2010
Sangiovese,PianaltiSetteponti,?,?,?,4/10/2010
Sangiovese,TerrazzamentiSetteponti,21.05,7.16,3.15,4/10/2010
Sangiovese,ValdiChiana,19.48,6.97,3.19,4/10/2010
Syrah,Cortona,?,?,?,4/10/2010
Trebbiano,ValdiChiana,18.2,6.35,3.2,4/10/2010
CabernetSauvignon,Ambra,18.5,8.7,3.1,29/8/2011
CabernetSauvignon,Cortona,20.1,7.6,3.2,29/8/2011
CabernetSauvignon,Montevarchi,17.15,9,3.1,29/8/2011
Merlot,Ambra,18.3,7.2,3.1,29/8/2011
Merlot,BassoCasentino,22.23,6.9,3.2,29/8/2011
Merlot,Montevarchi,19.48,6.6,3.2,29/8/2011
Merlot,PianaltiSetteponti,21.08,7.1,3.3,29/8/2011
Sangiovese,Ambra,18.78,7.2,3.2,29/8/2011
Sangiovese,BassoCasentino,18.58,8.9,3,29/8/2011
Sangiovese,Cortona,20.65,8,3.2,29/8/2011
Sangiovese,Montevarchi,17.48,8.7,3.1,29/8/2011
Sangiovese,PergineCivitella,17.8,7.4,3.2,29/8/2011
Sangiovese,PianaltiSetteponti,19.53,8,3.1,29/8/2011
Sangiovese,TerrazzamentiSetteponti,19.05,8.7,3,29/8/2011
Sangiovese,ValdiChiana,18.38,7.8,3.1,29/8/2011
Trebbiano,ValdiChiana,14,7.9,3,29/8/2011
CabernetSauvignon,Ambra,18.6,8.1,3.17,5/9/2011
CabernetSauvignon,Cortona,20,7.1,3.17,5/9/2011
CabernetSauvignon,Montevarchi,17.4,7.7,3.17,5/9/2011
Merlot,Ambra,19.5,6,3.28,5/9/2011
Merlot,BassoCasentino,21.8,5.8,3.31,5/9/2011
Merlot,Montevarchi,20.1,7.6,3.25,5/9/2011
Merlot,PianaltiSetteponti,21.3,7.1,3.32,5/9/2011
Sangiovese,Ambra,18.7,8.2,2.93,5/9/2011
Sangiovese,BassoCasentino,18.7,7.4,3.11,5/9/2011
Sangiovese,Cortona,20.9,6.9,3.15,5/9/2011
Sangiovese,Montevarchi,18.4,7.8,3.12,5/9/2011
Sangiovese,PergineCivitella,17.7,7,3.11,5/9/2011
Sangiovese,PianaltiSetteponti,19.5,7.5,3.15,5/9/2011
Sangiovese,TerrazzamentiSetteponti,18.7,8.6,2.97,5/9/2011
Sangiovese,ValdiChiana,18.4,7.5,3.16,5/9/2011
Trebbiano,ValdiChiana,15.1,7.8,3.01,5/9/2011
CabernetSauvignon,Ambra,18.1,6.2,3.32,12/9/2011
CabernetSauvignon,Cortona,21,6.5,3.24,12/9/2011
CabernetSauvignon,Montevarchi,18.1,7.7,3.19,12/9/2011
Merlot,Ambra,?,?,?,12/9/2011
Merlot,BassoCasentino,22.2,5.3,3.44,12/9/2011
Merlot,Montevarchi,20.7,5.8,3.27,12/9/2011
Merlot,PianaltiSetteponti,22.8,5.1,3.53,12/9/2011
Sangiovese,Ambra,18.7,6.5,3.14,12/9/2011
Sangiovese,BassoCasentino,20,8,3.08,12/9/2011
Sangiovese,Cortona,22.7,6.3,3.2,12/9/2011
Sangiovese,Montevarchi,20.7,6.5,3.2,12/9/2011
Sangiovese,PergineCivitella,18.3,6,3.12,12/9/2011
Sangiovese,PianaltiSetteponti,19.8,6.5,3.14,12/9/2011
Sangiovese,TerrazzamentiSetteponti,19.3,7.1,3.02,12/9/2011
Sangiovese,ValdiChiana,19.7,6.1,3.22,12/9/2011
Trebbiano,ValdiChiana,16,6.6,3.03,12/9/2011
CabernetSauvignon,Ambra,19.3,5.9,3.33,19/9/2011
CabernetSauvignon,Cortona,?,?,?,19/9/2011
CabernetSauvignon,Montevarchi,18.9,7.3,3.2,19/9/2011
Merlot,Ambra,?,?,?,19/9/2011
Merlot,BassoCasentino,?,?,?,19/9/2011
Merlot,Montevarchi,?,?,?,19/9/2011
Merlot,PianaltiSetteponti,?,?,?,19/9/2011
Sangiovese,Ambra,19.9,6.3,3.28,19/9/2011
Sangiovese,BassoCasentino,?,?,?,19/9/2011
Sangiovese,Cortona,?,?,?,19/9/2011
Sangiovese,Montevarchi,20.9,5.9,3.22,19/9/2011
Sangiovese,PergineCivitella,?,?,?,19/9/2011
Sangiovese,PianaltiSetteponti,?,?,?,19/9/2011
Sangiovese,TerrazzamentiSetteponti,21,6.9,3.13,19/9/2011
Sangiovese,ValdiChiana,20.7,6,3.35,19/9/2011
Trebbiano,ValdiChiana,17.4,5.9,3.11,19/9/2011
CabernetSauvignon,Ambra,13.1,18,2.9,25/8/2013
CabernetSauvignon,Cortona,14,16.1,2.9,25/8/2013
CabernetSauvignon,Montevarchi,10.6,25.6,2.7,25/8/2013
Merlot,Ambra,14.7,9.9,3,25/8/2013
Merlot,BassoCasentino,13.6,13.4,2.9,25/8/2013
Merlot,Montevarchi,12.2,15.8,2.9,25/8/2013
Merlot,PergineCivitella,15.1,13,3,25/8/2013
Merlot,PianaltiSetteponti,14.2,12,3,25/8/2013
Sangiovese,Ambra,13,13,2.9,25/8/2013
Sangiovese,BassoCasentino,12.5,18.3,2.8,25/8/2013
Sangiovese,Cortona,14.1,12.3,2.9,25/8/2013
Sangiovese,Montevarchi,12.2,16.9,2.9,25/8/2013
Sangiovese,PergineCivitella,12.8,12.8,3,25/8/2013
Sangiovese,PianaltiSetteponti,12.6,14.9,2.9,25/8/2013
Sangiovese,TerrazzamentiSetteponti,14,12.8,2.9,25/8/2013
Sangiovese,ValdiChiana,11.1,16.8,2.9,25/8/2013
Syrah,Cortona,14.7,12,3.2,25/8/2013
Trebbiano,ValdiChiana,9.7,22,2.8,25/8/2013
CabernetSauvignon,Ambra,15.2,12.7,3,2/9/2013
CabernetSauvignon,Cortona,16.2,11,3,2/9/2013
CabernetSauvignon,Montevarchi,13.9,18.2,2.9,2/9/2013
Merlot,Ambra,17.1,7.6,3.1,2/9/2013
Merlot,BassoCasentino,15.6,10,3,2/9/2013
Merlot,Montevarchi,15.5,10.6,3,2/9/2013
Merlot,PergineCivitella,15.5,11.6,3,2/9/2013
Merlot,PianaltiSetteponti,16.2,9.1,3.1,2/9/2013
Sangiovese,Ambra,15.2,10.3,2.9,2/9/2013
Sangiovese,BassoCasentino,13.8,15.4,2.8,2/9/2013
Sangiovese,Cortona,15.6,10,2.9,2/9/2013
Sangiovese,Montevarchi,13.8,11.4,2.9,2/9/2013
Sangiovese,PergineCivitella,14.5,11.3,3,2/9/2013
Sangiovese,PianaltiSetteponti,14.3,11.6,2.9,2/9/2013
Sangiovese,TerrazzamentiSetteponti,15,11.2,2.9,2/9/2013
Sangiovese,ValdiChiana,12.8,12.6,2.9,2/9/2013
Syrah,Cortona,17,7.4,3.2,2/9/2013
Trebbiano,ValdiChiana,12.6,15.8,2.9,2/9/2013
CabernetSauvignon,Ambra,16.8,9.4,3.14,9/9/2013
CabernetSauvignon,Cortona,18.3,8.2,3.14,9/9/2013
CabernetSauvignon,Montevarchi,15.3,11.7,3.05,9/9/2013
Merlot,Ambra,18.9,5.9,3.29,9/9/2013
Merlot,BassoCasentino,18.1,8.2,3.16,9/9/2013
Merlot,Montevarchi,17.1,8.1,3.2,9/9/2013
Merlot,PergineCivitella,17.8,8.5,3.26,9/9/2013
Merlot,PianaltiSetteponti,18.2,7.3,3.27,9/9/2013
Sangiovese,Ambra,17.5,8.4,3.09,9/9/2013
Sangiovese,BassoCasentino,16.2,11.3,3,9/9/2013
Sangiovese,Cortona,17.8,8.1,3.12,9/9/2013
Sangiovese,Montevarchi,15.4,10.4,3.1,9/9/2013
Sangiovese,PergineCivitella,15.5,9.3,3.12,9/9/2013
Sangiovese,PianaltiSetteponti,16.4,9.4,3.06,9/9/2013
Sangiovese,TerrazzamentiSetteponti,17,9.7,3.04,9/9/2013
Sangiovese,ValdiChiana,14.7,9.1,3.1,9/9/2013
Syrah,Cortona,18.5,6.4,3.44,9/9/2013
Trebbiano,ValdiChiana,13.6,11.5,3.02,9/9/2013
CabernetSauvignon,Ambra,17.5,7.5,3.16,16/9/2013
CabernetSauvignon,Cortona,18.9,6.4,3.18,16/9/2013
CabernetSauvignon,Montevarchi,16.2,9.2,3.1,16/9/2013
Merlot,Ambra,19.6,5.9,3.21,16/9/2013
Merlot,BassoCasentino,18.7,6.2,3.19,16/9/2013
Merlot,Montevarchi,19.1,7.5,3.18,16/9/2013
Merlot,PergineCivitella,17.6,7.6,3.21,16/9/2013
Merlot,PianaltiSetteponti,18.5,5.5,3.3,16/9/2013
Sangiovese,BassoCasentino,16.7,9.9,3.02,16/9/2013
Sangiovese,Cortona,18.5,6.6,3.14,16/9/2013
Sangiovese,Montevarchi,16.9,9.4,3.12,16/9/2013
Sangiovese,PergineCivitella,16.2,7.8,3.17,16/9/2013
Sangiovese,PianaltiSetteponti,16.7,8.2,3.11,16/9/2013
Sangiovese,TerrazzamentiSetteponti,16.9,8.2,3.04,16/9/2013
Sangiovese,ValdiChiana,15.4,8,3.15,16/9/2013
Syrah,Cortona,19.2,6.9,3.48,16/9/2013
Trebbiano,ValdiChiana,15.4,9.6,3.03,16/9/2013
Sangiovese,Ambra,18.1,7.3,3.11,16/9/2013
CabernetSauvignon,Ambra,18.7,7.3,3.24,23/9/2013
CabernetSauvignon,Cortona,19.6,6.5,3.23,23/9/2013
CabernetSauvignon,Montevarchi,17.2,9.3,3.15,23/9/2013
Merlot,Ambra,20.8,5.7,3.36,23/9/2013
Merlot,BassoCasentino,19.6,6.2,3.26,23/9/2013
Merlot,Montevarchi,19.7,7.5,3.23,23/9/2013
Merlot,PergineCivitella,?,?,?,23/9/2013
Merlot,PianaltiSetteponti,19.7,5.7,3.32,23/9/2013
Sangiovese,Ambra,19.2,7.9,3.12,23/9/2013
Sangiovese,BassoCasentino,18,9.6,3.09,23/9/2013
Sangiovese,Cortona,19.8,6.7,3.2,23/9/2013
Sangiovese,Montevarchi,17.3,9,3.19,23/9/2013
Sangiovese,PergineCivitella,?,?,?,23/9/2013
Sangiovese,PianaltiSetteponti,18.1,7.9,3.15,23/9/2013
Sangiovese,TerrazzamentiSetteponti,18.1,8,3.15,23/9/2013
Sangiovese,ValdiChiana,16.4,7.9,3.19,23/9/2013
Syrah,Cortona,20.7,5.1,3.7,23/9/2013
Trebbiano,ValdiChiana,17,9,3.12,23/9/2013
CabernetSauvignon,Ambra,?,?,?,30/9/2013
CabernetSauvignon,Cortona,18.6,6.5,3.35,30/9/2013
CabernetSauvignon,Montevarchi,19.5,9,3.21,30/9/2013
Merlot,Ambra,?,?,?,30/9/2013
Merlot,BassoCasentino,18.6,6,3.3,30/9/2013
Merlot,Montevarchi,?,?,?,30/9/2013
Merlot,PergineCivitella,?,?,?,30/9/2013
Merlot,PianaltiSetteponti,20.1,5.7,3.36,30/9/2013
Sangiovese,Ambra,21.3,6.5,3.17,30/9/2013
Sangiovese,BassoCasentino,21.1,9.5,3.1,30/9/2013
Sangiovese,Cortona,19.5,6.5,3.28,30/9/2013
Sangiovese,Montevarchi,18.6,7.8,3.26,30/9/2013
Sangiovese,PergineCivitella,?,?,?,30/9/2013
Sangiovese,PianaltiSetteponti,17.9,9,3.21,30/9/2013
Sangiovese,TerrazzamentiSetteponti,19.1,7.9,3.18,30/9/2013
Sangiovese,ValdiChiana,19.3,8.4,3.23,30/9/2013
Syrah,Cortona,?,?,?,30/9/2013
Trebbiano,ValdiChiana,18.4,7.8,3.21,30/9/2013
CabernetSauvignon,Ambra,14.7,12.8,2.93,25/8/2014
CabernetSauvignon,Cortona,15.9,12.84,2.94,25/8/2014
CabernetSauvignon,Montevarchi,16.4,18.3,2.85,25/8/2014
Merlot,Ambra,16.7,7.85,3.07,25/8/2014
Merlot,BassoCasentino,15,10.65,3,25/8/2014
Merlot,Montevarchi,14.4,12.19,2.94,25/8/2014
Merlot,PergineCivitella,16.7,10.3,3.07,25/8/2014
Merlot,PianaltiSetteponti,14.6,10.72,3.05,25/8/2014
Sangiovese,Ambra,14.7,12.16,2.88,25/8/2014
Sangiovese,BassoCasentino,12.9,14.77,2.81,25/8/2014
Sangiovese,Cortona,14.2,13.16,2.87,25/8/2014
Sangiovese,Montevarchi,12.2,14.77,2.81,25/8/2014
Sangiovese,PergineCivitella,14.4,12.61,2.89,25/8/2014
Sangiovese,PianaltiSetteponti,13.8,13.36,2.85,25/8/2014
Sangiovese,TerrazzamentiSetteponti,13.3,15.17,2.83,25/8/2014
Sangiovese,ValdiChiana,13.3,13.29,2.88,25/8/2014
Trebbiano,ValdiChiana,8.6,26.5,2.62,25/8/2014
CabernetSauvignon,Ambra,15.9,11.36,2.97,31/8/2014
CabernetSauvignon,Cortona,17,10.85,3.06,31/8/2014
CabernetSauvignon,Montevarchi,13.6,14.75,2.94,31/8/2014
Merlot,Ambra,18.1,7.19,3.17,31/8/2014
Merlot,BassoCasentino,16.7,8.55,3.13,31/8/2014
Merlot,Montevarchi,16.5,9.57,3.07,31/8/2014
Merlot,PergineCivitella,17.6,9.26,3.14,31/8/2014
Merlot,PianaltiSetteponti,16.2,9.49,3.16,31/8/2014
Sangiovese,Ambra,16.4,9.94,3.01,31/8/2014
Sangiovese,BassoCasentino,14,12.56,2.88,31/8/2014
Sangiovese,Cortona,16.2,10.21,2.97,31/8/2014
Sangiovese,Montevarchi,14.4,11.85,2.92,31/8/2014
Sangiovese,PergineCivitella,16,10.19,2.98,31/8/2014
Sangiovese,PianaltiSetteponti,15.3,10.84,2.96,31/8/2014
Sangiovese,TerrazzamentiSetteponti,14.5,12.81,2.9,31/8/2014
Sangiovese,ValdiChiana,15.2,9.83,3.01,31/8/2014
Trebbiano,ValdiChiana,10.5,19.56,2.75,31/8/2014
CabernetSauvignon,Ambra,16.5,8.34,3.11,8/9/2014
CabernetSauvignon,Cortona,17.1,9.05,3.15,8/9/2014
CabernetSauvignon,Montevarchi,15,11.08,3.06,8/9/2014
Merlot,Ambra,18.9,6.3,3.22,8/9/2014
Merlot,BassoCasentino,17.8,7.58,3.13,8/9/2014
Merlot,Montevarchi,17.1,8.16,3.13,8/9/2014
Merlot,PergineCivitella,17.3,8.76,3.14,8/9/2014
Merlot,PianaltiSetteponti,16.8,8.3,3.18,8/9/2014
Sangiovese,Ambra,17.6,8.4,3.07,8/9/2014
Sangiovese,BassoCasentino,15.1,11.36,2.98,8/9/2014
Sangiovese,Cortona,16.8,8.84,3.05,8/9/2014
Sangiovese,Montevarchi,16,10.06,3.04,8/9/2014
Sangiovese,PergineCivitella,15.9,8.69,3.03,8/9/2014
Sangiovese,PianaltiSetteponti,16,9.47,3.03,8/9/2014
Sangiovese,TerrazzamentiSetteponti,15.4,10.77,2.98,8/9/2014
Sangiovese,ValdiChiana,15.5,8.79,3.09,8/9/2014
Trebbiano,ValdiChiana,12.8,16.39,2.87,8/9/2014
CabernetSauvignon,Ambra,17.2,8.31,3.16,15/9/2014
CabernetSauvignon,Cortona,17.7,7.89,3.19,15/9/2014
CabernetSauvignon,Montevarchi,17,10.25,3.14,15/9/2014
Merlot,Ambra,17.7,6.34,3.18,15/9/2014
Merlot,BassoCasentino,18.2,7.17,3.22,15/9/2014
Merlot,Montevarchi,17.5,7.37,3.21,15/9/2014
Merlot,PergineCivitella,18.6,7.19,3.26,15/9/2014
Merlot,PianaltiSetteponti,6.7,8.29,3.27,15/9/2014
Sangiovese,Ambra,17.7,7.51,3.13,15/9/2014
Sangiovese,BassoCasentino,15.9,9.91,3.06,15/9/2014
Sangiovese,Cortona,17.6,7.95,3.11,15/9/2014
Sangiovese,Montevarchi,16.7,9.26,3.11,15/9/2014
Sangiovese,PergineCivitella,16.2,7.98,3.14,15/9/2014
Sangiovese,PianaltiSetteponti,16.7,8.88,3.1,15/9/2014
Sangiovese,TerrazzamentiSetteponti,16.7,10.77,3.02,15/9/2014
Sangiovese,ValdiChiana,16.1,7.73,3.22,15/9/2014
Trebbiano,ValdiChiana,12.8,14.72,2.92,15/9/2014
CabernetSauvignon,Ambra,17.8,7.54,3.23,22/9/2014
CabernetSauvignon,Cortona,18.7,7.13,3.27,22/9/2014
CabernetSauvignon,Montevarchi,17.3,9.11,3.18,22/9/2014
Merlot,Ambra,19.5,5.7,3.24,22/9/2014
Merlot,BassoCasentino,19.6,6.02,3.31,22/9/2014
Merlot,Montevarchi,19,6.9,3.21,22/9/2014
Merlot,PergineCivitella,?,?,?,22/9/2014
Merlot,PianaltiSetteponti,17.6,7.79,3.32,22/9/2014
Sangiovese,Ambra,18.1,6.93,3.17,22/9/2014
Sangiovese,BassoCasentino,17,8.87,3.09,22/9/2014
Sangiovese,Cortona,18.1,7.24,3.16,22/9/2014
Sangiovese,Montevarchi,17.3,8.09,3.15,22/9/2014
Sangiovese,PergineCivitella,?,?,?,22/9/2014
Sangiovese,PianaltiSetteponti,16.8,7.6,3.16,22/9/2014
Sangiovese,TerrazzamentiSetteponti,17.9,15,3.05,22/9/2014
Sangiovese,ValdiChiana,17,7.31,3.28,22/9/2014
Trebbiano,ValdiChiana,15,12.15,2.95,22/9/2014
